name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,occupation,political_party
Alicia Silverstone,https://en.wikipedia.org/wiki/Alicia_Silverstone,42,U.S.,California,San Francisco,American,,,['Actress'],
Alison Brie,https://en.wikipedia.org/wiki/Alison_Brie,35,U.S.,California,Los Angeles,American,['California Institute of the Arts'],,['Actress  producer'],
Allen Iverson,https://en.wikipedia.org/wiki/Allen_Iverson,43,U.S.,Virginia,Hampton,American,,,,
Allen Leech,https://en.wikipedia.org/wiki/Allen_Leech,37,Ireland,County Dublin,Killiney,Irish,,,['Actor'],
Allison Janney,https://en.wikipedia.org/wiki/Allison_Janney,58,U.S.,Massachusetts,Boston,American,,['Kenyon College'],['Actress'],
Allison Janney,https://en.wikipedia.org/wiki/Allison_Janney,58,U.S.,Massachusetts,Boston,American,,['Kenyon College'],['Actress'],
Allison Janney,https://en.wikipedia.org/wiki/Allison_Janney,58,U.S.,Massachusetts,Boston,American,,['Kenyon College'],['Actress'],
Allison Williams,https://en.wikipedia.org/wiki/Allison_Williams_(actress),30,U.S.,Connecticut,New Canaan,American,['Yale University'],,['Actress  singer'],
Alton Brown,https://en.wikipedia.org/wiki/Alton_Brown,56,U.S.,California,Los Angeles,American,,"['University of Georgia', 'New England Culinary Institute']",,
Amanda Peet,https://en.wikipedia.org/wiki/Amanda_Peet,46,U.S.,New York,New York City,American,['Columbia University'],,['Actress'],
America Ferrera,https://en.wikipedia.org/wiki/America_Ferrera,34,U.S.,California,Los Angeles,American,['University of Southern California'],,"['Actress, voice actress']",
America Ferrera,https://en.wikipedia.org/wiki/America_Ferrera,34,U.S.,California,Los Angeles,American,['University of Southern California'],,"['Actress, voice actress']",
America Ferrera,https://en.wikipedia.org/wiki/America_Ferrera,34,U.S.,California,Los Angeles,American,['University of Southern California'],,"['Actress, voice actress']",
America Ferrera,https://en.wikipedia.org/wiki/America_Ferrera,34,U.S.,California,Los Angeles,American,['University of Southern California'],,"['Actress, voice actress']",
America Ferrera,https://en.wikipedia.org/wiki/America_Ferrera,34,U.S.,California,Los Angeles,American,['University of Southern California'],,"['Actress, voice actress']",
Amy Adams,https://en.wikipedia.org/wiki/Amy_Adams,44,Italy,Vicenza, ,American,,,['Actress'],
Amy Cuddy,https://en.wikipedia.org/wiki/Amy_Cuddy,46,U.S.,Pennsylvania, Robesonia,American,"['University of Colorado', 'Princeton University']",,,
Amy Klobuchar,https://en.wikipedia.org/wiki/Amy_Klobuchar,58,U.S.,Minnesota, Plymouth,American,,"['Yale University',  'University of Chicago']",,Democratic
Amy Ryan,https://en.wikipedia.org/wiki/Amy_Ryan,49,U.S.,New York,New York City,American,,,['Actress'],
Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer,37,U.S.,New York,New York City,American,['Towson University'],['William Esper Studio'],,
Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer,37,U.S.,New York,New York City,American,['Towson University'],['William Esper Studio'],,
Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer,37,U.S.,New York,New York City,American,['Towson University'],['William Esper Studio'],,
Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer,37,U.S.,New York,New York City,American,['Towson University'],['William Esper Studio'],,
Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer,37,U.S.,New York,New York City,American,['Towson University'],['William Esper Studio'],,
Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer,37,U.S.,New York,New York City,American,['Towson University'],['William Esper Studio'],,
Amy Sedaris,https://en.wikipedia.org/wiki/Amy_Sedaris,57,U.S.,New York,Endicott,American,,,['Actress  comedian  writer'],
Ana Gasteyer,https://en.wikipedia.org/wiki/Ana_Gasteyer,51,US,D.C.,Washington,American,['Northwestern University'],,"['Actress, singer, comedian']",
Anderson Cooper,https://en.wikipedia.org/wiki/Anderson_Cooper,51,U.S.,New York,New York City,American,['Yale University'],,['Journalist  author  anchor'],
Anderson Cooper,https://en.wikipedia.org/wiki/Anderson_Cooper,51,U.S.,New York,New York City,American,['Yale University'],,['Journalist  author  anchor'],
Anderson Cooper,https://en.wikipedia.org/wiki/Anderson_Cooper,51,U.S.,New York,New York City,American,['Yale University'],,['Journalist  author  anchor'],
Anderson Cooper,https://en.wikipedia.org/wiki/Anderson_Cooper,51,U.S.,New York,New York City,American,['Yale University'],,['Journalist  author  anchor'],
Anderson Cooper,https://en.wikipedia.org/wiki/Anderson_Cooper,51,U.S.,New York,New York City,American,['Yale University'],,['Journalist  author  anchor'],
Andrew Delbanco,https://en.wikipedia.org/wiki/Andrew_Delbanco,,,,,,,,,
Andrew Dice Clay,https://en.wikipedia.org/wiki/Andrew_Dice_Clay,61,U.S.,New York,New York City,American,,,,
Andrew Garfield,https://en.wikipedia.org/wiki/Andrew_Garfield,35,U.S.,California,Los Angeles,American,['Royal Central School of Speech amp Drama'],,['Actor'],
Andrew Garfield,https://en.wikipedia.org/wiki/Andrew_Garfield,35,U.S.,California,Los Angeles,American,"['Royal Central School of Speech amp Drama', '1']",,['Actor'],
Andrew Garfield,https://en.wikipedia.org/wiki/Andrew_Garfield,35,U.S.,California,Los Angeles,American,['Royal Central School of Speech amp Drama'],,['Actor'],
Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,70,UK,London, Kensington,British,,"['Westminster School', 'Magdalen College, Oxford', 'Royal College of Music']",['Composer  songwriter  theatre director  television personality  businessman'],Conservative
Andrew Rannells,https://en.wikipedia.org/wiki/Andrew_Rannells,40,U.S.,Nebraska,Omaha,American,['Marymount Manhattan College'],['Creighton Preparatory School'],"['Actor, voice actor, singer']",
Andrew Rannells,https://en.wikipedia.org/wiki/Andrew_Rannells,40,U.S.,Nebraska,Omaha,American,['Marymount Manhattan College'],['Creighton Preparatory School'],"['Actor, voice actor, singer']",
Andrew Sullivan,https://en.wikipedia.org/wiki/Andrew_Sullivan,55,U.K.,Surrey,South Godstone,American,"['Magdalen College, Oxford', 'Harvard University']",['Reigate Grammar School’] ,"['Writer, editor, blogger']",
Andy Cohen,https://en.wikipedia.org/wiki/Andy_Cohen_(TV_personality),50,U.S.,Missouri,St. Louis,American,['Boston University'],['Clayton High School'],['Talk show host  radio host  author  producer'],
Andy Cohen,https://en.wikipedia.org/wiki/Andy_Cohen_(TV_personality),50,U.S.,Missouri,St. Louis,American,['Boston University'],['Clayton High School'],['Talk show host  radio host  author  producer'],
Andy Cohen,https://en.wikipedia.org/wiki/Andy_Cohen_(TV_personality),50,U.S.,Missouri,St. Louis,American,['Boston University'],['Clayton High School'],['Talk show host  radio host  author  producer'],
Andy Cohen,https://en.wikipedia.org/wiki/Andy_Cohen_(TV_personality),50,U.S.,Missouri,St. Louis,American,['Boston University'],['Clayton High School'],['Talk show host  radio host  author  producer'],
Andy Daly,https://en.wikipedia.org/wiki/Andy_Daly,47,US,New York,Mount Kisco,American,['Ithaca College'],,"['Actor, comedian, writer']",
Andy Karl,https://en.wikipedia.org/wiki/Andy_Karl,44,U.S.,Maryland,Baltimore,American,['Towson University'],['Towson High School'],"['Actor, singer']",
Andy Serkis,https://en.wikipedia.org/wiki/Andy_Serkis,54,U.K.,Middlesex,Ruislip,British,"['The County College, Lancaster']",,"['Actor, film director, film producer']",
Angela Bassett,https://en.wikipedia.org/wiki/Angela_Bassett,60,U.S.,New York,New York City,American,['Yale University'],,['Actress'],
Ann Curry,https://en.wikipedia.org/wiki/Ann_Curry,61,U.S.,Guam, ,American,['University of Oregon School of Journalism'],,['Journalist'],
Ann Dowd,https://en.wikipedia.org/wiki/Ann_Dowd,62,U.S.,Massachusetts,Holyoke,American,,,['Actress'],
Anna Baryshnikov,https://en.wikipedia.org/wiki/Anna_Baryshnikov,26,U.S., New York,Palisades,American,['Northwestern University'],,['Actress'],
Anna Camp,https://en.wikipedia.org/wiki/Anna_Camp,36,U.S.,South Carolina,Aiken,American,,['University of North Carolina School of the Arts'],"['Actress, singer']",
Anna Chlumsky,https://en.wikipedia.org/wiki/Anna_Chlumsky,37,U.S.,Illinois,Chicago,American,"['University of Chicago', 'Atlantic Acting School']",,['Actress'],
Anna Chlumsky,https://en.wikipedia.org/wiki/Anna_Chlumsky,37,U.S.,Illinois,Chicago,American,"['University of Chicago', 'Atlantic Acting School']",,['Actress'],
Anna Faris,https://en.wikipedia.org/wiki/Anna_Faris,41,U.S.,Maryland,Baltimore,American,['University of Washington'],,"['Actress, producer, comedian, author, podcaster']",
Anna Gunn,https://en.wikipedia.org/wiki/Anna_Gunn,50,U.S.,Ohio,Cleveland,American,,,['Actress'],
Anna Kendrick,https://en.wikipedia.org/wiki/Anna_Kendrick,33,U.S.,Maine,Portland,American,,['Deering High School'],"['Actress, singer, author']",
Anna Kendrick,https://en.wikipedia.org/wiki/Anna_Kendrick,33,U.S.,Maine,Portland,American,,['Deering High School'],"['Actress, singer, author']",
Anna Kendrick,https://en.wikipedia.org/wiki/Anna_Kendrick,33,U.S.,Maine,Portland,American,,['Deering High School'],"['Actress, singer, author']",
Anna Kendrick,https://en.wikipedia.org/wiki/Anna_Kendrick,33,U.S.,Maine,Portland,American,,['Deering High School'],"['Actress, singer, author']",
Anna Kendrick,https://en.wikipedia.org/wiki/Anna_Kendrick,33,U.S.,Maine,Portland,American,,['Deering High School'],"['Actress, singer, author']",
Anna Wintour,https://en.wikipedia.org/wiki/Anna_Wintour,68,U.K.,London,Hampstead,British,,['North London Collegiate School'],"['Magazine editor, fashion journalist']",
Anne Hathaway,https://en.wikipedia.org/wiki/Anne_Hathaway,35,U.S.,New York,New York City,American,['New York University'],,"['Actress, singer']",
Annette Bening,https://en.wikipedia.org/wiki/Annette_Bening,60,U.S.,Kansas,Topeka,American,"[['San Diego Mesa College', 'San Francisco State University']]",,['Actress'],
Anthony Anderson,https://en.wikipedia.org/wiki/Anthony_Anderson,48,U.S.,California,Compton,American,,['Hollywood High School'],['Actor  comedian  writer  game show host  panelist'],
Anthony Anderson,https://en.wikipedia.org/wiki/Anthony_Anderson,48,U.S.,California,Compton,American,,['Hollywood High School'],['Actor  comedian  writer  game show host  panelist'],
Anthony Anderson,https://en.wikipedia.org/wiki/Anthony_Anderson,48,U.S.,California,Compton,American,,['Hollywood High School'],['Actor  comedian  writer  game show host  panelist'],
Anthony Atamanuik,https://en.wikipedia.org/wiki/Anthony_Atamanuik,44,U.S., , ,American,['Emerson College'],,"['Comedian, actor and writer']",
Anthony Atamanuik,https://en.wikipedia.org/wiki/Anthony_Atamanuik,44,U.S., , ,American,['Emerson College'],,"['Comedian, actor and writer']",
Anthony Bourdain,https://en.wikipedia.org/wiki/Anthony_Bourdain,61,U.S.,New York,New York City,American,,"['Vassar College', 'The Culinary Institute of America']",,
Anthony Mackie,https://en.wikipedia.org/wiki/Anthony_Mackie,40,U.S.,Louisiana,New Orleans,American,,"['University of North Carolina School of the Arts', 'Juilliard School']",['Actor'],
Anthony Mackie,https://en.wikipedia.org/wiki/Anthony_Mackie,40,U.S.,Louisiana,New Orleans,American,,"['University of North Carolina School of the Arts', 'Juilliard School']",['Actor'],
Anthony Scaramucci,https://en.wikipedia.org/wiki/Anthony_Scaramucci,54,U.S.,New York, Port Washington,American,,"['Tufts University’, 'Harvard University']",,Republican
Anthony Scaramucci,https://en.wikipedia.org/wiki/Anthony_Scaramucci,54,U.S.,New York, Port Washington,American,,"['Tufts University', 'Harvard University']",,Republican
Anthony Scaramucci,https://en.wikipedia.org/wiki/Anthony_Scaramucci,54,U.S.,New York, Port Washington,American,,"['Tufts University',  'Harvard University']",,Republican
Anthony Weiner,https://en.wikipedia.org/wiki/Anthony_Weiner,54,U.S.,New York,New York City,American,['SUNY Plattsburgh'],,,Democratic
Antonio Banderas,https://en.wikipedia.org/wiki/Antonio_Banderas,58,Spain,Mlaga, ,Spanish,,,"['Actor, producer, singer']",
Antonio Banderas,https://en.wikipedia.org/wiki/Antonio_Banderas,58,Spain,Mlaga, ,Spanish,,,"['Actor, producer, singer']",
April Ryan,https://en.wikipedia.org/wiki/April_Ryan,51,U.S.,Maryland,Baltimore,American,,['Morgan State University'],['Journalist'],
Ari Graynor,https://en.wikipedia.org/wiki/Ari_Graynor,35,U.S.,Massachusetts,Boston,American,['Trinity College'],['Buckingham Browne amp Nichols'],['Actress'],
Arianna Huffington,https://en.wikipedia.org/wiki/Arianna_Huffington,68,Greece,Athens, ,American,"['Girton College, Cambridge', 'Visva Bharati University']",,"['Journalist, entrepreneur']",
Armie Hammer,https://en.wikipedia.org/wiki/Armie_Hammer,32,U.S.,California,Santa Monica,American,,,['Actor'],
Armie Hammer,https://en.wikipedia.org/wiki/Armie_Hammer,32,U.S.,California,Santa Monica,American,,,['Actor'],
Asa Butterfield,https://en.wikipedia.org/wiki/Asa_Butterfield,21,U.K.,London,Islington,British,,,['Actor'],
Ashley Graham,https://en.wikipedia.org/wiki/Ashley_Graham_(model),30,U.S., , ,American,,,"['Supermodel', 'Body activist']",
Ashton Kutcher,https://en.wikipedia.org/wiki/Ashton_Kutcher,40,U.S.,Iowa,Cedar Rapids,American,,,"['Actor, producer, entrepreneur']",
Aubrey Plaza,https://en.wikipedia.org/wiki/Aubrey_Plaza,34,U.S.,Delaware,Wilmington,American,['New York University'],,"['Actress, comedian, producer']",
Aubrey Plaza,https://en.wikipedia.org/wiki/Aubrey_Plaza,34,U.S.,Delaware,Wilmington,American,['New York University'],,"['Actress, comedian, producer']",
Aubrey Plaza,https://en.wikipedia.org/wiki/Aubrey_Plaza,34,U.S.,Delaware,Wilmington,American,['New York University'],,"['Actress, comedian, producer']",
Audra McDonald,https://en.wikipedia.org/wiki/Audra_McDonald,48,Germany,West Berlin, ,American,['Juilliard School'],,"['Actress, singer']",
Audra McDonald,https://en.wikipedia.org/wiki/Audra_McDonald,48,Germany,West Berlin, ,American,['Juilliard School'],,"['Actress, singer']",
Ava DuVernay,https://en.wikipedia.org/wiki/Ava_DuVernay,46,U.S.,California,Long Beach,American,"['University of California,Los Angeles']",,['Filmmaker'],
Aziz Ansari,https://en.wikipedia.org/wiki/Aziz_Ansari,35,U.S.,South Carolina, Columbia,American,['New York University'],,,
B. J. Novak,https://en.wikipedia.org/wiki/B._J._Novak,39,U.S.,Massachusetts,Newton,American,['Harvard University'],,['Actor  writer  comedian  director'],
Ban Ki-moon,https://en.wikipedia.org/wiki/Ban_Ki-moon,74,South Korea,Eumseong County, ,South Korean,,"['Seoul National University', 'Harvard University']",,Independent
Bassem Youssef,https://en.wikipedia.org/wiki/Bassem_Youssef,44,Egypt, Cairo, ,Egyptian,['Cairo University'],,,
Bassem Youssef,https://en.wikipedia.org/wiki/Bassem_Youssef,44,Egypt, Cairo, ,Egyptian,['Cairo University'],,,
Beanie Feldstein,https://en.wikipedia.org/wiki/Beanie_Feldstein,25,U.S.,California,Los Angeles,American,['Wesleyan University'],['HarvardWestlake School'],['Actress'],
Ben Affleck,https://en.wikipedia.org/wiki/Ben_Affleck,46,U.S.,California,Berkeley,American,['Occidental College'],,['Actor  filmmaker'],Democratic
Ben Bernanke,https://en.wikipedia.org/wiki/Ben_Bernanke,64,U.S., Georgia,Augusta,American,,"['Harvard University', 'Massachusetts Institute of Technology']",,Republican
Ben Falcone,https://en.wikipedia.org/wiki/Ben_Falcone,45,U.S.,Illinois,Carbondale,American,,,"['Actor, comedian, filmmaker']",
Ben Falcone,https://en.wikipedia.org/wiki/Ben_Falcone,45,U.S.,Illinois,Carbondale,American,,,"['Actor, comedian, filmmaker']",
Ben McKenzie,https://en.wikipedia.org/wiki/Ben_McKenzie,40,U.S.,Texas,Austin,American,['University of Virginia'],"['Stephen F. Austin High School Austin, Texas']",['Actor  director'],
Ben Platt,https://en.wikipedia.org/wiki/Ben_Platt_(actor),25,U.S.,California,Los Angeles,American,,,['Actor  singer'],
Ben Stiller,https://en.wikipedia.org/wiki/Ben_Stiller,52,U.S.,New York,New York City,American,,,,
Benedict Cumberbatch,https://en.wikipedia.org/wiki/Benedict_Cumberbatch,42,U.K.,London,Hammersmith,British,"[['Victoria University of Manchester', 'London Academy of Music and Dramatic Art']]","['Brambletye School', 'Harrow School']",['Actor'],
Benicio del Toro,https://en.wikipedia.org/wiki/Benicio_del_Toro,51,Puerto Rico,San Germn, ,American,,,['Actor  film producer'],
Benjamin Bratt,https://en.wikipedia.org/wiki/Benjamin_Bratt,54,U.S.,California,San Francisco,American,,"['University of California, Santa Barbara', 'American Conservatory Theatre']",['Actor'],
Benjamin Walker,https://en.wikipedia.org/wiki/Benjamin_Walker_(actor),36,U.S.,Georgia,Cartersville,American,,['Juilliard School'],"['Actor,', 'standup comedian']",
Bernadette Peters,https://en.wikipedia.org/wiki/Bernadette_Peters,70,U.S.,New York,New York City,American,,,"['Actress, singer, author']",
Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,77,U.S.,New York,New York City,American,,['University of Chicago'],,Independent
Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,77,U.S.,New York,New York City,American,,['University of Chicago'],,Independent
Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,77,U.S.,New York,New York City,American,,['University of Chicago'],,Independent
Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,77,U.S.,New York,New York City,American,,['University of Chicago'],,Independent
Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,77,U.S.,New York,New York City,American,,['University of Chicago'],,Independent
Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,77,U.S.,New York,New York City,American,,['University of Chicago'],,Independent
Beto O'Rourke,https://en.wikipedia.org/wiki/Beto_O%27Rourke,46,U.S.,Texas, El Paso,American,,['Columbia University'],,Democratic
Betty Gilpin,https://en.wikipedia.org/wiki/Betty_Gilpin,32,U.S.,New York,New York City,American,,,['Actress'],
Bill Burr,https://en.wikipedia.org/wiki/Bill_Burr,50,U.S.,Massachusetts, Canton,American,,,,
Bill Clinton,https://en.wikipedia.org/wiki/Bill_Clinton,72,U.S.,Arkansas,Hope ,American,,"['Georgetown University', 'University College, Oxford', 'Yale Law School']",,Democratic
Bill Clinton,https://en.wikipedia.org/wiki/Bill_Clinton,72,U.S.,Arkansas, Hope,American,,"['Georgetown University',  'University College, Oxford', 'Yale University’]",,Democratic
Bill Maher,https://en.wikipedia.org/wiki/Bill_Maher,62,U.S.,New York,New York City,American,['Cornell University'],['Pascack Hills High School'],,
Bill Maher,https://en.wikipedia.org/wiki/Bill_Maher,62,U.S.,New York,New York City,American,['Cornell University'],['Pascack Hills High School'],,
Bill Murray,https://en.wikipedia.org/wiki/Bill_Murray,68,U.S.,Illinois,Evanston,American,,,['Actor  comedian  writer'],
Bill Nye,https://en.wikipedia.org/wiki/Bill_Nye,62,U.S.,D.C.,Washington,American,['Cornell University'],,,
Bill O'Reilly,https://en.wikipedia.org/wiki/Bill_O%27Reilly_(political_commentator),69,U.S.,New York,New York City,American,,"['Marist College','Boston University', 'Harvard University']",['Television host  political commentator  author'],Republican
Bill O'Reilly,https://en.wikipedia.org/wiki/Bill_O%27Reilly_(political_commentator),69,U.S.,New York,New York City,American,,"['Marist College', 'Boston University', 'Harvard University']",['Television host  political commentator  author'],Republican
Bill O'Reilly,https://en.wikipedia.org/wiki/Bill_O%27Reilly_(political_commentator),69,U.S.,New York,New York City,American,,"['Marist College',  'Boston University',  'Harvard University']",['Television host  political commentator  author'],Republican
Bill O'Reilly,https://en.wikipedia.org/wiki/Bill_O%27Reilly_(political_commentator),69,U.S.,New York,New York City,American,,"['Marist College', 'Boston University','Harvard University']",['Television host  political commentator  author'],Republican
Bill Withers,https://en.wikipedia.org/wiki/Bill_Withers,80,U.S.,West Virginia,Slab Fork ,American,,,,
Billy Bush,https://en.wikipedia.org/wiki/Billy_Bush,47,U.S.,New York,New York City,American,['Colby College'],,"['Television presenter', 'radio personality']",
Billy Eichner,https://en.wikipedia.org/wiki/Billy_Eichner,40,U.S.,New York,New York City,American,['Northwestern University'],['Stuyvesant High School'],,
Billy Eichner,https://en.wikipedia.org/wiki/Billy_Eichner,40,U.S.,New York,New York City,American,['Northwestern University'],['Stuyvesant High School'],,
Billy Eichner,https://en.wikipedia.org/wiki/Billy_Eichner,40,U.S.,New York,New York City,American,['Northwestern University'],['Stuyvesant High School'],,
Billy Eichner,https://en.wikipedia.org/wiki/Billy_Eichner,40,U.S.,New York,New York City,American,['Northwestern University'],['Stuyvesant High School'],,
Billy Eichner,https://en.wikipedia.org/wiki/Billy_Eichner,40,U.S.,New York,New York City,American,['Northwestern University'],['Stuyvesant High School'],,
Billy Gardell,https://en.wikipedia.org/wiki/Billy_Gardell,49,U.S.,Pennsylvania, Pittsburgh,American,,,,
Billy Joel,https://en.wikipedia.org/wiki/Billy_Joel,69,U.S.,New York,New York City,American,,,,
Bob Odenkirk,https://en.wikipedia.org/wiki/Bob_Odenkirk,56,U.S.,Illinois,Berwyn,American,['Southern Illinois University'],,['Actor  comedian  director  producer  writer'],
Bob Odenkirk,https://en.wikipedia.org/wiki/Bob_Odenkirk,56,U.S.,Illinois,Berwyn,American,['Southern Illinois University'],,['Actor  comedian  director  producer  writer'],
Bob Saget,https://en.wikipedia.org/wiki/Bob_Saget,62,U.S.,Philadelphia, Pennsylvania,American,['Temple University'],,,
Bob Schieffer,https://en.wikipedia.org/wiki/Bob_Schieffer,81,U.S.,Texas,Austin,American,,['Texas Christian University'],"['Journalist', 'Anchor']",
