name,wiki_link,age,country_born,state_born,city_born,nationality,almamater,education,occupation,political_party
Brian Greene,https://en.wikipedia.org/wiki/Brian_Greene,55,U.S.,New York,New York City,American,"['Harvard University', 'University of Oxford']",,,
Lizzy Caplan,https://en.wikipedia.org/wiki/Lizzy_Caplan,36,U.S.,California,Los Angeles,American,,,['Actress  model'],
Neil Young,https://en.wikipedia.org/wiki/Neil_Young,72,Canada,Ontario, Toronto,Canadian,,,,
Mike Epps,https://en.wikipedia.org/wiki/Mike_Epps,47,U.S.,Indiana, Indianapolis,American,,,,
Rashida Jones,https://en.wikipedia.org/wiki/Rashida_Jones,42,U.S.,California,Los Angeles,American,['Harvard University'],,['Actress  writer  producer'],
Daveed Diggs,https://en.wikipedia.org/wiki/Daveed_Diggs,36,U.S.,California,Oakland,American,['Brown University'],,['Actor  rapper  singer'],
James Corden,https://en.wikipedia.org/wiki/James_Corden,40,U.K.,London,Hillingdon,American,,['Holmer Green Upper School'],['Actor  comedian  television host'],
Scott Speedman,https://en.wikipedia.org/wiki/Scott_Speedman,43,UK ,London,Hammersmith,British,"['University of Toronto', 'York University']",,['Actor'],
Jude Law,https://en.wikipedia.org/wiki/Jude_Law,45,U.K.,London,Lewisham,British,['National Youth Music Theatre'],['Alleyns School'],['Actor'],
Norman Reedus,https://en.wikipedia.org/wiki/Norman_Reedus,49,U.S.,Florida,Hollywood,American,,,"['Actor, model, photographer, director']",
Laura Linney,https://en.wikipedia.org/wiki/Laura_Linney,54,U.S.,New York,New York City,American,,"['Northwestern University', 'Brown University', 'Juilliard School']",['Actress  singer'],
John Leguizamo,https://en.wikipedia.org/wiki/John_Leguizamo,54,Colombia,Bogot, ,American,,,"['Actor, standup comedian, film producer, playwright, screenwriter']",
Patrick Wilson,https://en.wikipedia.org/wiki/Patrick_Wilson_(American_actor),45,U.S.,Virginia,Norfolk,American,['Carnegie Mellon University'],,['Actor  singer  producer'],
Gayle King,https://en.wikipedia.org/wiki/Gayle_King,63,U.S.,Maryland,Chevy Chase,American,,,['Broadcast journalist  Magazine editor'],
Gary Johnson,https://en.wikipedia.org/wiki/Gary_Johnson,65,U.S.,North Dakota, Minot,American,,"['University of New Mexico, Albuquerque']",,Libertarian
William Weld,https://en.wikipedia.org/wiki/William_Weld,73,U.S.,New York,Smithtown ,American,,"['Harvard University', 'University College, Oxford']",,Libertarian
David Duchovny,https://en.wikipedia.org/wiki/David_Duchovny,58,U.S.,New York,New York City,American,"['Princeton University', 'Yale University']",,"['Actor, director, producer, writer, singersongwriter']",
Aaron Tveit,https://en.wikipedia.org/wiki/Aaron_Tveit,35,U.S.,New York,Middletown,American,,['Middletown High School'],['Actor  singer'],
Bill O'Reilly,https://en.wikipedia.org/wiki/Bill_O%27Reilly_(political_commentator),69,U.S.,New York,New York City,American,,"['Marist College',  'Boston University',  'Harvard University']",['Television host  political commentator  author'],Republican
Anna Chlumsky,https://en.wikipedia.org/wiki/Anna_Chlumsky,37,U.S.,Illinois,Chicago,American,"['University of Chicago', 'Atlantic Acting School']",,['Actress'],
Daniel Radcliffe,https://en.wikipedia.org/wiki/Daniel_Radcliffe,29,U.K.,London,Hammersmith,British,,,['Actor  producer'],
George Lopez,https://en.wikipedia.org/wiki/George_Lopez,57,U.S.,Los Angeles,California,American,,,,
Liam Hemsworth,https://en.wikipedia.org/wiki/Liam_Hemsworth,28,Australia,Victoria,Melbourne,Australian,,,['Actor'],
Ana Gasteyer,https://en.wikipedia.org/wiki/Ana_Gasteyer,51,US,D.C.,Washington,American,['Northwestern University'],,"['Actress, singer, comedian']",
Demi Lovato,https://en.wikipedia.org/wiki/Demi_Lovato,26,U.S.,New Mexico,Albuquerque,American,,,['Singer  songwriter  actress  author'],
Nick Jonas,https://en.wikipedia.org/wiki/Nick_Jonas,26,U.S.,Texas,Dallas,American,,,['Singer  songwriter  actor'],
Amy Ryan,https://en.wikipedia.org/wiki/Amy_Ryan,49,U.S.,New York,New York City,American,,,['Actress'],
Aaron Paul,https://en.wikipedia.org/wiki/Aaron_Paul,39,U.S.,Idaho,Emmett,American,,,['Actor'],
Michael Ian Black,https://en.wikipedia.org/wiki/Michael_Ian_Black,47,U.S.,Illinois,Chicago,American,,,,
Alexander Skarsgård,https://en.wikipedia.org/wiki/Alexander_Skarsg%C3%A5rd42,42,Sweden,Stockholm, ,Swedish,,,['Actor'],
Natasha Leggero,https://en.wikipedia.org/wiki/Natasha_Leggero,44,U.S,Illinois, Rockford,American,"['Stella Adler Conservatory', 'Hunter College']",,,
Aubrey Plaza,https://en.wikipedia.org/wiki/Aubrey_Plaza,34,U.S.,Delaware,Wilmington,American,['New York University'],,"['Actress, comedian, producer']",
Hugh Dancy,https://en.wikipedia.org/wiki/Hugh_Dancy,43,U.K.,Staffordshire,StokeonTrent,British,"['St Peters College, Oxford']",['Winchester College'],"['Actor, model']",
Uzo Aduba,https://en.wikipedia.org/wiki/Uzo_Aduba,37,U.S.,Massachusetts,Boston,American,['Boston University'],,['Actress'],
Neil deGrasse Tyson,https://en.wikipedia.org/wiki/Neil_deGrasse_Tyson,60,U.S.,New York,New York City,American,"['Harvard College', 'University of Texas at Austin','Columbia University']]",,,
Bernie Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,77,U.S.,New York,New York City,American,,['University of Chicago'],,Independent
Paul Dano,https://en.wikipedia.org/wiki/Paul_Dano,34,U.S.,New York,New York City,American,,,['Actor  director  screenwriter  producer  singer  musician'],
Kevin Hart,https://en.wikipedia.org/wiki/Kevin_Hart,39,U.S.,Philadelphia,Pennsylvania,American,,,,
Taylor Schilling,https://en.wikipedia.org/wiki/Taylor_Schilling,34,U.S.,Massachusetts,Boston,American,,['Fordham University'],['Actress'],
RuPaul Charles,https://en.wikipedia.org/wiki/RuPaul,57,U.S.,California,San Diego,American,,,['Drag performer   actor  model  singer  songwriter  television personality  author'],
Kevin Love,https://en.wikipedia.org/wiki/Kevin_Love,30,U.S.,California,Santa Monica,American,,,,
Jenny Slate,https://en.wikipedia.org/wiki/Jenny_Slate,36,U.S.,Massachusetts,Milton,American,['Columbia University'],['Milton Academy'],['Standup comedian  actress  author'],
Tom Brokaw,https://en.wikipedia.org/wiki/Tom_Brokaw,78,U.S.,South Dakota,Webster,American,['University of South Dakota'],['Yankton High School'],"['Television journalist', 'Author']",
Sara,https://en.wikipedia.org/wiki/Sara_Foster,37,U.S.,California,Los Angeles,American,,,['Actress'],
Erin Foster,https://en.wikipedia.org/wiki/Erin_Foster,36,U.S.,California,Los Angeles,American,,,"['Writer, performer']",
Samuel L. Jackson,https://en.wikipedia.org/wiki/Samuel_L._Jackson,69,U.S.,D.C.,Washington,American,['Morehouse College’],,"['Actor, film producer']",
Julie Klausner,https://en.wikipedia.org/wiki/Julie_Klausner,40,U.S.,New York,New York City,American,['New York University'],,['Writer  comedian  author'],
Ellie Kemper,https://en.wikipedia.org/wiki/Ellie_Kemper,38,U.S.,Missouri,Kansas City,American,,"['Princeton University', 'Worcester College, Oxford']","['Actress, comedian']",
Patrick Fugit,https://en.wikipedia.org/wiki/Patrick_Fugit,36,U.S.,Utah,Salt Lake City,American,,,['Actor'],
Zachary Quinto,https://en.wikipedia.org/wiki/Zachary_Quinto,41,U.S.,Pennsylvania,Pittsburgh,American,['Carnegie Mellon University'],,['Actor  producer'],
Natasha Lyonne,https://en.wikipedia.org/wiki/Natasha_Lyonne,39,U.S.,New York,New York City,American,,,['Actress'],
2 Chainz,https://en.wikipedia.org/wiki/2_Chainz,41,U.S,Georgia,College Park,American,,,,
Bryan Cranston,https://en.wikipedia.org/wiki/Bryan_Cranston,62,U.S.,California,Hollywood,American,['Los Angeles Valley College'],,"['Actor, producer, director, screenwriter']",
Busy Philipps,https://en.wikipedia.org/wiki/Busy_Philipps,39,U.S.,Illinois,Oak Park,American,['Loyola Marymount University'],,['Actress'],
Nicholas Hoult,https://en.wikipedia.org/wiki/Nicholas_Hoult,28,U.K.,Berkshire,Wokingham,British,,"['Sylvia Young Theatre School', 'Ranelagh School']",['Actor'],
John Turturro,https://en.wikipedia.org/wiki/John_Turturro,61,U.S.,New York,New York City,American,,"['State University of New York, New Paltz', 'Yale University']",['Actor  writer  filmmaker'],
Bret Baier,https://en.wikipedia.org/wiki/Bret_Baier,48,U.S.,New Jersey,Rumson,American,,['DePauw University'],['News anchor'],
Benjamin Bratt,https://en.wikipedia.org/wiki/Benjamin_Bratt,54,U.S.,California,San Francisco,American,,"['University of California, Santa Barbara', 'American Conservatory Theatre']",['Actor'],
Rob Corddry,https://en.wikipedia.org/wiki/Rob_Corddry,47,U.S.,Massachusetts,Weymouth,American,,,['Actor  comedian'],
Bill Maher,https://en.wikipedia.org/wiki/Bill_Maher,62,U.S.,New York,New York City,American,['Cornell University'],['Pascack Hills High School'],,
Michael K. Williams,https://en.wikipedia.org/wiki/Michael_K._Williams,51,U.S.,New York,New York City,American,,,"['Actor, dancer, reporter']",
Charlie Rose,https://en.wikipedia.org/wiki/Charlie_Rose,76,U.S.,North Carolina,Henderson,American,['Duke University'],,"['Talk show host, journalist']",
Gayle King,https://en.wikipedia.org/wiki/Gayle_King,63,U.S.,Maryland,Chevy Chase,American,,,['Broadcast journalist  Magazine editor'],
Norah O'Donnell,https://en.wikipedia.org/wiki/Norah_O%27Donnell,44,U.S.,D.C.,Washington,American,['Georgetown University'],['Douglas MacArthur High School'],['Television journalist'],
DeRay McKesson,https://en.wikipedia.org/wiki/DeRay_McKesson,33,U.S.,Maryland,Baltimore,American,['Bowdoin College'],,"['Activist', 'podcaster']",
Zoe Saldana,https://en.wikipedia.org/wiki/Zoe_Saldana,40,U.S.,New Jersey,Passaic,American,,,"['Actress, dancer']",
Keegan-Michael Key,https://en.wikipedia.org/wiki/Keegan-Michael_Key,47,U.S.,Michigan,Southfield,American,"['University of Detroit Mercy', 'Pennsylvania State University']",,"['Actor, comedian, writer, producer']",
Kathryn Hahn,https://en.wikipedia.org/wiki/Kathryn_Hahn,45,U.S.,Illinois,Westchester,American,,"['Northwestern University', 'Yale University']","['Actress, fashion model and comedian']",
Tony Goldwyn,https://en.wikipedia.org/wiki/Tony_Goldwyn,58,U.S.,California,Los Angeles,American,"['Brandeis University', 'London Academy of Music and Dramatic Art']",,"['Actor, singer, producer, director, political activist']",
Mark Cuban,https://en.wikipedia.org/wiki/Mark_Cuban,60,U.S.,Pennsylvania,Pittsburgh,American,"['University of Pittsburgh', 'Kelley School of Business', 'Indiana University Bloomington']",,"['Owner of', 'Dallas Mavericks', 'Coowner of', '2929 Entertainment', 'Coowner of', 'Brondell', 'Chairman of', 'AXS TV', 'Television personality', 'Entrepreneur']",Independent
Lewis Black,https://en.wikipedia.org/wiki/Lewis_Black,70,D.C.,Washington, ,American,,"['University of Maryland, College Park', 'University of North Carolina, Chapel Hill', 'Yale University']",,
Elizabeth Warren,https://en.wikipedia.org/wiki/Elizabeth_Warren,69,U.S.,Oklahoma,Oklahoma City,American,,"['George Washington University', 'University of Houston',  'Rutgers UniversityNewark']",,Democratic
Billy Eichner,https://en.wikipedia.org/wiki/Billy_Eichner,40,U.S.,New York,New York City,American,['Northwestern University'],['Stuyvesant High School'],,
Jennifer Saunders,https://en.wikipedia.org/wiki/Jennifer_Saunders,60,U.K.,Lincolnshire, ,British,"['Central School Of Speech And Drama', ]",['St Pauls Girls School'],,
Allison Janney,https://en.wikipedia.org/wiki/Allison_Janney,58,U.S.,Massachusetts,Boston,American,,['Kenyon College'],['Actress'],
Anthony Weiner,https://en.wikipedia.org/wiki/Anthony_Weiner,54,U.S.,New York,New York City,American,['SUNY Plattsburgh'],,,Democratic
Jeff Daniels,https://en.wikipedia.org/wiki/Jeff_Daniels,63,U.S.,Georgia,Clarke County,American,,,['Actor  musician  playwright'],
Bassem Youssef,https://en.wikipedia.org/wiki/Bassem_Youssef,44,Egypt, Cairo, ,Egyptian,['Cairo University'],,,
John Oliver,https://en.wikipedia.org/wiki/John_Oliver,41,U.K.,Birmingham, Erdington,British,"['Christs College, Cambridge']",,,
Jai Courtney,https://en.wikipedia.org/wiki/Jai_Courtney,32,Australia,New South Wales,Sydney,Australian,"['Cherrybrook Technology High School', 'Western Australian Academy of Performing Arts']",,['Actor'],
Charlamagne Tha God,https://en.wikipedia.org/wiki/Charlamagne_Tha_God,40,U.S.,South Carolina, Charleston,American,,,,
Abbi Jacobson,https://en.wikipedia.org/wiki/Abbi_Jacobson,34,U.S.,Pennsylvania,Wayne,American,['Maryland Institute College of Art'],,['Comedian  actress  writer  illustrator'],
Ilana Glazer,https://en.wikipedia.org/wiki/Ilana_Glazer,31,U.S.,New York, St.James,American,['New York University'],,,
Doris Kearns Goodwin,https://en.wikipedia.org/wiki/Doris_Kearns_Goodwin,75,U.S.,New York,New York City,American,,"['Colby College', 'Harvard University']","['Historian, author, political commentator']",
Eric André,https://en.wikipedia.org/wiki/Eric_Andr%C3%A9,35,U.S.,Florida ,Boca Raton,American,['Berklee College of Music'],,,
Viola Davis,https://en.wikipedia.org/wiki/Viola_Davis,53,U.S.,South Carolina,St. Matthews,American,,"['Rhode Island College', 'Juilliard School']","['Actress, producer']",
Simon Helberg,https://en.wikipedia.org/wiki/Simon_Helberg,37,U.S.,California,Los Angeles,American,"['New York University', 'Tisch School of Arts']",,"['Actor, comedian, musician', '1', '2']",
Will Smith,https://en.wikipedia.org/wiki/Will_Smith,50,U.S.,Pennsylvania,Philadelphia,American,,,['Actor  film producer  rapper  songwriter  comedian  media personality  record producer'],
Logan Lerman,https://en.wikipedia.org/wiki/Logan_Lerman,26,U.S.,California,Beverly Hills,American,['Beverly Hills High School'],,['Actor'],
John Cena,https://en.wikipedia.org/wiki/John_Cena,41,U.S.,Massachusetts,West Newbury,American,['Springfield College'],,"['Professional wrestler, actor, voice actor, rapper, television host']",
Scott Eastwood,https://en.wikipedia.org/wiki/Scott_Eastwood,32,U.S.,California,Monterey County,American,['Loyola Marymount University'],,['Actor  model  producer  director'],
Jamie Dornan,https://en.wikipedia.org/wiki/Jamie_Dornan,36,U.K.,County Down,Holywood,American,,,"['Actor, model, musician']",
Javier Muñoz,https://en.wikipedia.org/wiki/Javier_Mu%C3%B1oz_(actor),42,U.S.,New York,New York City,American,['New York University'],['Edward R. Murrow High School'],['Actor  singer'],
Malcolm Gladwell,https://en.wikipedia.org/wiki/Malcolm_Gladwell,55,U.K.,Fareham, ,Canadian,"['Trinity College', 'University of Toronto']",,"['Nonfiction writer, journalist']",
Diane Kruger,https://en.wikipedia.org/wiki/Diane_Kruger,42,Germany,Lower Saxony,Algermissen,German,,,"['Actress, model']",
Ibtihaj Muhammad,https://en.wikipedia.org/wiki/Ibtihaj_Muhammad,32,US,New Jersey, Maplewood,American,,,,
Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer,37,U.S.,New York,New York City,American,['Towson University'],['William Esper Studio'],,
Omari Hardwick,https://en.wikipedia.org/wiki/Omari_Hardwick,44,U.S.,Georgia,Savannah,American,['University of Georgia'],,['Actor'],
Michaela Watkins,https://en.wikipedia.org/wiki/Michaela_Watkins,46,U.S.,New York,Syracuse,American,['Boston University'],,"['Actress, comedian']",
Rami Malek,https://en.wikipedia.org/wiki/Rami_Malek,37,U.S.,California,Los Angeles,American,['University of Evansville'],['Notre Dame High School'],['Actor'],
Tika Sumpter,https://en.wikipedia.org/wiki/Tika_Sumpter,38,U.S.,New York,New York City,American,['Marymount Manhattan College'],,['Actress  model  singer'],
Parker Sawyers,https://en.wikipedia.org/wiki/Parker_Sawyers,34,, , ,American,,,['Actor'],
Anderson Cooper,https://en.wikipedia.org/wiki/Anderson_Cooper,51,U.S.,New York,New York City,American,['Yale University'],,['Journalist  author  anchor'],
Édgar Ramírez,https://en.wikipedia.org/wiki/%C3%89dgar_Ram%C3%ADrez,41,Venezuela  ,Tchira,San Cristbal,Venezuelan,,,['Actor'],
Senator Tim Kaine,https://en.wikipedia.org/wiki/Tim_Kaine,60,U.S.,Minnesota,Saint Paul ,American,,"['University of Missouri', 'Harvard University']",,Democratic
Tony Hale,https://en.wikipedia.org/wiki/Tony_Hale,48,U.S.,New York,West Point,American,,,"['Actor, comedian']",
Rachel Weisz,https://en.wikipedia.org/wiki/Rachel_Weisz,48,U.K.,London,Westminster,American,"['Trinity Hall, Cambridge']",,['Actress  fashion model'],
Kevin Smith,https://en.wikipedia.org/wiki/Kevin_Smith,48,U.S.,New Jersey,Red Bank,American,,,"['Filmmaker', 'actor', 'comedian', 'public speaker', 'comic book writer', 'author', 'podcaster']",
Spike Feresten,https://en.wikipedia.org/wiki/Spike_Feresten,54,U.S.,Massachusetts,Fall River,American,,,,
Riz Ahmed,https://en.wikipedia.org/wiki/Riz_Ahmed,35,U.K.,London,Wembley,British,"['Christ Church, Oxford', 'Central School of Speech and Drama']",,['Actor  rapper'],
Pedro Pascal,https://en.wikipedia.org/wiki/Pedro_Pascal,43,Chile,Santiago, ,American,"['Orange County School of the Arts', 'Tisch School of the Arts']",,['Actor'],
John Krasinski,https://en.wikipedia.org/wiki/John_Krasinski,39,U.S.,Massachusetts,Boston,American,['Brown University'],,['Actor  screenwriter  producer  director'],
Adam Brody,https://en.wikipedia.org/wiki/Adam_Brody,38,U.S.,California,San Diego,American,,,['Actor  writer  musician  producer'],
Christian Slater,https://en.wikipedia.org/wiki/Christian_Slater,49,U.S.,New York,New York City,American,,,"['Actor, voice actor, producer']",
Chris Geere,https://en.wikipedia.org/wiki/Chris_Geere,37,U.K.,Cambridgeshire,Cambridge,British,,,['Actor'],
John Lewis,https://en.wikipedia.org/wiki/Damian_Lewis,47,U.K.,London,St Johns Wood,British,['Guildhall School of Music and Drama'],,"['Actor, film producer']",
Larry Wilmore,https://en.wikipedia.org/wiki/Larry_Wilmore,56,U.S.,Los Angeles County,California,American,"['California State Polytechnic University, Pomona']",,,
Chris Noth,https://en.wikipedia.org/wiki/Chris_Noth,63,U.S.,Wisconsin,Madison,American,,"['Marlboro College', 'Yale University']",['Actor'],
Anna Gunn,https://en.wikipedia.org/wiki/Anna_Gunn,50,U.S.,Ohio,Cleveland,American,,,['Actress'],
John Dickerson,https://en.wikipedia.org/wiki/John_Dickerson_(journalist),50,U.S.,D.C.,Washington,American,['University of Virginia'],['Sidwell Friends School'],['Journalist  television host'],
Harry Connick Jr.,https://en.wikipedia.org/wiki/Harry_Connick_Jr.,51,U.S.,Louisiana,New Orleans,American,,,['Singer  composer  actor  television host'],
Ava DuVernay,https://en.wikipedia.org/wiki/Ava_DuVernay,46,U.S.,California,Long Beach,American,"['University of California,Los Angeles']",,['Filmmaker'],
Whoopi Goldberg,https://en.wikipedia.org/wiki/Whoopi_Goldberg,62,U.S.,New York,New York City,American,,,,
Regina Hall,https://en.wikipedia.org/wiki/Regina_Hall,47,U.S.,D.C.,Washington,American,"['Fordham University', 'New York University']",,['Actress'],
Chesley Sullenberger,https://en.wikipedia.org/wiki/Chesley_Sullenberger,67,U.S.,Texas,Denison,American,,,,
Jessica Alba,https://en.wikipedia.org/wiki/Jessica_Alba,37,U.S.,California,Pomona,American,,,"['Actress, businesswoman']",
Bradley Whitford,https://en.wikipedia.org/wiki/Bradley_Whitford,59,U.S.,Wisconsin,Madison,American,,"['Wesleyan University', 'Juilliard School']",['Actor'],
George Takei,https://en.wikipedia.org/wiki/George_Takei,81,U.S.,California,Los Angeles,American,,,"['Actor, author, and voice artist, director, activist']",Democratic
Tituss Burgess,https://en.wikipedia.org/wiki/Tituss_Burgess,39,U.S.,Georgia,Athens,American,['University of Georgia'],,"['Actor, singer']",
Jeff Ross,https://en.wikipedia.org/wiki/Jeff_Ross,53,U.S.,New Jersey, Springfield,American,,,,
Adam Richman,https://en.wikipedia.org/wiki/Adam_Richman,44,U.S.,New York,New York City,American,,"['Emory University’,'Yale University']","['Actor', 'television personality']",
Dr. Phil,https://en.wikipedia.org/wiki/Phil_McGraw,68,U.S.,Oklahoma,Vinita,American,"['Midwestern State University', 'University of North Texas’]",,['Television host'],
Alan Cumming,https://en.wikipedia.org/wiki/Alan_Cumming,53,U.K.,Perthshire,Aberfeldy,American,['Royal Scottish Academy of Music and Drama'],,"['Actor, singer, director, producer, writer, activist']",
Joseph Gordon-Levitt,https://en.wikipedia.org/wiki/Joseph_Gordon-Levitt,37,U.S.,California,Los Angeles,American,,,['Actor  filmmaker  singer  entrepreneur'],
Millie Bobby Brown,https://en.wikipedia.org/wiki/Millie_Bobby_Brown,14,Spain ,Andalusia,Marbella,British,,,['Actress  model'],
Trevor Noah,https://en.wikipedia.org/wiki/Trevor_Noah,34,South Africa, , ,South African,,,,
Allen Iverson,https://en.wikipedia.org/wiki/Allen_Iverson,43,U.S.,Virginia,Hampton,American,,,,
Chris Gethard,https://en.wikipedia.org/wiki/Chris_Gethard,38,U.S.,New Jersey   , West Orange,American,,,"['Actor, comedian, writer']",
Tracee Ellis Ross,https://en.wikipedia.org/wiki/Tracee_Ellis_Ross,45,U.S.,California,Los Angeles,American,['Brown University'],,"['Actress, model, comedian, television host, activist']",
Andrew Rannells,https://en.wikipedia.org/wiki/Andrew_Rannells,40,U.S.,Nebraska,Omaha,American,['Marymount Manhattan College'],['Creighton Preparatory School'],"['Actor, voice actor, singer']",
John Slattery,https://en.wikipedia.org/wiki/John_Slattery,56,U.S.,Massachusetts,Boston,American,['Catholic University of America'],,"['Actor, director']",
Oliver Stone,https://en.wikipedia.org/wiki/Oliver_Stone,72,U.S.,New York,New York City,American,"['Yale University', 'New York University']",,"['Film director, screenwriter, film producer, author']",
Chris Pratt,https://en.wikipedia.org/wiki/Chris_Pratt,39,U.S.,Minnesota,Virginia,American,,,['Actor'],
Scott Bakula,https://en.wikipedia.org/wiki/Scott_Bakula,64,U.S.,Missouri,St. Louis,American,,,"['Actor, singer, director']",
Michelle Obama,https://en.wikipedia.org/wiki/Michelle_Obama,54,U.S.,Chicago,Illinois,American,,"['Princeton University', 'Harvard University']",,Democratic
America Ferrera,https://en.wikipedia.org/wiki/America_Ferrera,34,U.S.,California,Los Angeles,American,['University of Southern California'],,"['Actress, voice actress']",
Ethan Hawke,https://en.wikipedia.org/wiki/Ethan_Hawke,47,U.S.,Texas,Austin,American,,,['Actor  director  screenwriter  novelist'],
Tim Meadows,https://en.wikipedia.org/wiki/Tim_Meadows,57,U.S.,Michigan,Highland Park,American,,,"['Actor, comedian']",
Anthony Anderson,https://en.wikipedia.org/wiki/Anthony_Anderson,48,U.S.,California,Compton,American,,['Hollywood High School'],['Actor  comedian  writer  game show host  panelist'],
Mark Consuelos,https://en.wikipedia.org/wiki/Mark_Consuelos,47,Spain,Zaragoza, ,American,['University of South Florida'],['Bloomingdale High School'],,
Bruce Springsteen,https://en.wikipedia.org/wiki/Bruce_Springsteen,69,U.S.,New Jersey,Long Branch,American,,,['Singer  songwriter'],
Rob Lowe,https://en.wikipedia.org/wiki/Rob_Lowe,54,U.S.,Virginia,Charlottesville,American,,,['Actor'],
Kal Penn,https://en.wikipedia.org/wiki/Kal_Penn,41,U.S.,New Jersey, Montclair,American,"['University of California, Los Angeles']",,"['Actor', 'comedian', 'film producer', 'civil servant', 'humanitarian']",Democratic
Sean Penn,https://en.wikipedia.org/wiki/Sean_Penn,58,U.S.,California,Santa Monica,American,,,"['Actor, filmmaker']",Democratic
Sutton Foster,https://en.wikipedia.org/wiki/Sutton_Foster,43,U.S.,Georgia,Statesboro,American,,,"['Actress, singer, dancer']",
Lupita Nyong'o,https://en.wikipedia.org/wiki/Lupita_Nyong%27o,35,Mexico,Mexico City, ,Mexican,,"['Hampshire College', 'Yale University']",['Actress'],
Donnie Wahlberg,https://en.wikipedia.org/wiki/Donnie_Wahlberg,49,U.S.,Massachusetts,Boston,American,,,['Singer  songwriter  actor  record producer  film producer'],
Morgan Freeman,https://en.wikipedia.org/wiki/Morgan_Freeman,81,U.S.,Tennessee,Memphis,American,,,['Actor'],
Judith Light,https://en.wikipedia.org/wiki/Judith_Light,69,U.S.,New Jersey,Trenton,American,['Carnegie Mellon University'],['St. Marys HallDoane Academy'],"['Actress, producer']",
Samantha Bee,https://en.wikipedia.org/wiki/Samantha_Bee,49,Canada,Ontario,Toronto,Canadian,['University of Ottawa'],,,
Abby Elliott,https://en.wikipedia.org/wiki/Abby_Elliott,31,U.S.,New York,New York City,American,['Marymount Manhattan College'],['Immaculate High School'],"['Actress', 'comedian']",
Asa Butterfield,https://en.wikipedia.org/wiki/Asa_Butterfield,21,U.K.,London,Islington,British,,,['Actor'],
Mindy Kaling,https://en.wikipedia.org/wiki/Mindy_Kaling,39,U.S.,Massachusetts,Cambridge,American,['Dartmouth College'],['Buckingham Browne amp Nichols'],"['Actress, comedian, writer']",
Gary Owen,https://en.wikipedia.org/wiki/Gary_Owen_(comedian),44,Ohio,Cincinnati, ,American,,,"['Actor', 'comedian']",
John Leguizamo,https://en.wikipedia.org/wiki/John_Leguizamo,54,Colombia,Bogot, ,American,,,"['Actor, standup comedian, film producer, playwright, screenwriter']",
Cheri Oteri,https://en.wikipedia.org/wiki/Cheri_Oteri,56,U.S., Pennsylvania , Upper Darby ,American,,,['Actress'],
Paul F. Tompkins,https://en.wikipedia.org/wiki/Paul_F._Tompkins,50,U.S.,Pennsylvania,Mount Airy,American,,,['Comedian  actor  writer  producer'],
Armie Hammer,https://en.wikipedia.org/wiki/Armie_Hammer,32,U.S.,California,Santa Monica,American,,,['Actor'],
Lindsey Vonn,https://en.wikipedia.org/wiki/Lindsey_Vonn,34,U.S.,Minnesota,Saint Paul ,American,,,,
Emily Blunt,https://en.wikipedia.org/wiki/Emily_Blunt,35,U.K.,London,Wandsworth,English,,,['Actress'],
Gael García Bernal,https://en.wikipedia.org/wiki/Gael_Garc%C3%ADa_Bernal,39,Mexico,Jalisco,Guadalajara,Mexican,,,"['Actor, film director, model, film producer']",
Diane Lane,https://en.wikipedia.org/wiki/Diane_Lane,53,U.S.,New York,New York City,American,,,['Actress'],
Aja Naomi King,https://en.wikipedia.org/wiki/Aja_Naomi_King,33,U.S.,California,Los Angeles,American,,"['University of California, Santa Barbara', 'Yale University']",['Actress'],
Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer,37,U.S.,New York,New York City,American,['Towson University'],['William Esper Studio'],,
Omari Hardwick,https://en.wikipedia.org/wiki/Omari_Hardwick,44,U.S.,Georgia,Savannah,American,['University of Georgia'],,['Actor'],
Michaela Watkins,https://en.wikipedia.org/wiki/Michaela_Watkins,46,U.S,New York,Syracuse,American,['Boston University'],,"['Actress, comedian']",
Bill O'Reilly,https://en.wikipedia.org/wiki/Bill_O%27Reilly_(political_commentator),69,U.S.,New York,New York City,American,,"['Marist College', 'Boston University','Harvard University']",['Television host  political commentator  author'],Republican
Randall Park,https://en.wikipedia.org/wiki/Randall_Park,44,U.S.,California,Los Angeles,American,"['University of California, Los Angeles', ]",,"['Actor, comedian, writer']",
Nick Offerman,https://en.wikipedia.org/wiki/Nick_Offerman,48,U.S.,Illinois,Minooka,American,['University of Illinois at UrbanaChampaign'],,['Actor  writer   carpenter'],
Wayne Gretzky,https://en.wikipedia.org/wiki/Wayne_Gretzky,57,Canada,Ontario, ,Canadian,,,,
Morgan Spurlock,https://en.wikipedia.org/wiki/Morgan_Spurlock,47,U.S.,West Virginia,Parkersburg,American,['New York University'],,"['Film director', ', television producer, screenwriter, playwright']",
Hugh Laurie,https://en.wikipedia.org/wiki/Hugh_Laurie,59,U.K.,Oxfordshire,Oxford,British,"['Selwyn College, Cambridge']","['Dragon School', 'Eton College']","['Actor, director, musician, comedian, author']",
Paul Reiser,https://en.wikipedia.org/wiki/Paul_Reiser,62,U.S.,New York,New York City,American,['Binghamton University'],"['East Side Hebrew Institute', 'Stuyvesant High School']","['Comedian, actor, television writer, musician']",
